건물번호,실개수,실높이합계,실둘레합계,실면적합계,벽개수합계,벽높이합계,벽길이합계,벽면적합계,바닥둘레합계,바닥면적합계,기둥개수,기둥길이합계,계단개수,계단단수합계,창호개수,창호면적합계,연면적,대지면적,건축면적,조경면적,층고,건물높이,지하층개수,지상층개수,시공기간,주차대수,총공사비,건축공사비,기계설비공사비,기타공사비,조경공사비,전기설비공사비,토목공사비,소방공사비,면적당총공사비,면적당건축공사비,면적당기계공사비,면적당기타공사비,면적당조경공사비,면적당전기공사비,면적당토목공사비,면적당소방공사비
40,367,894.89,8562.98,13609.41,741,2579.45,5774.3,15752.51,3441.31,17096.6,730,2550.3,20,406,883,4246.83,11503.14,11158,2813.28,1894.69,3.6,18.65,1,5,380,38,19354368220,12906736035,2219055291,641579748,0,2042677402,891895387,652424357,1682529.137,1122018.513,192908.6572,55774.31449,0,177575.636,77534.9502,56717.06656
41,207,504.75,5713.7,9740.78,500,1810,3948.46,11099.24,2978.79,11769.16,436,1586.7,11,232,529,3017.74,8165.17,11388,3098.59,1789.2,3.6,16.85,0,4,400,41,16457915253,10021696578,2092817543,1108650236,268757655,1671759551,861813891,432419799,2015624.323,1227371.454,256310.3454,135777.9735,32915.13281,204742.7734,105547.5748,52959.0687
42,294,716.89,7163.77,11854.41,570,2080.8,4718.45,13493.91,2930.94,15347.25,0,0,16,335,657,3632.76,11373.94,12044,3919.17,2556,3.6,18.55,1,4,380,45,20077745997,13809107555,1538257728,980236526,0,2024074551,1171220107,554849530,1765241.068,1214100.616,135244.0516,86182.67074,0,177957.2031,102974.0008,48782.52655
43,423,1031.44,11065.75,18317.97,849,3344.7,7297.88,22662,4431.81,23589,0,0,28,656,914,5602.96,16510.45,22557.92,4878.78,3448.01,3.6,23.5,1,4,420,99,27781395944,17279180464,3950534467,902391096,371657264,3299726713,959460801,1018445139,1682655.285,1046560.237,239274.7906,54655.75414,22510.42606,199856.8611,58112.33498,61684.88073
45,277,675.44,7672.15,13629.63,550,2025.7,4991.16,14413.05,2710.75,18379.39,0,0,20,422,760,3719.93,12041.58,12000,3744.4,1995.61,3.6,16.85,1,4,380,45,19961336541,12442513710,2150778580,1140108965,0,2699452257,828548032,699934997,1657700.779,1033295.773,178612.6555,94681.01071,0,224177.5794,68807.2522,58126.50807
47,354,863.19,9557.67,18157.42,667,2574.9,6031.96,18024.6,3200.33,24725.19,0,0,19,425,812,4970.94,15708.43,16314.4,4875.84,2516.02,3.6,20.2,1,5,400,59,26265034225,19125840058,1766595045,789519020,0,2851755510,901817403,829507189,1672034.33,1217552.617,112461.592,50260.84847,0,181543.0002,57409.77316,52806.49874
49,359,875.39,9992.24,21171.33,1016,3926.5,6430.68,20579.69,2983.15,27445.72,0,0,22,516,1030,4565.36,16821.92,17542,4774.01,2673.97,3.9,21.9,1,5,420,79,26930002272,17164150493,3729829966,856143040,458721836,2758653807,1053510397,908992733,1600887.549,1020344.318,221724.3909,50894.49005,27269.29126,163991.6137,62627.23857,54036.20591
77,313,755.9,7009.11,10538.31,483,2119.5,4351.52,15972.47,2063.9,13034.39,285,1090.4,18,614,712,2783.93,9346.84,11150,2289.77,1672.5,0,33.95,1,7,600,124,20211479485,11132398882,2300566152,890405005,542443874,2366958067,2298271778,680435727,2162386.377,1191033.428,246133.0409,95262.67755,58035.00156,253236.1811,245887.5703,72798.4781
80,145,336.5,3721.04,8386.21,300,1353.29,2342.74,9139.16,1518.62,11805.12,218,819.18,12,304,315,1341.71,7962.38,3521.4,2065.28,658.56,4.2,23.79,1,4,650,62,15463137801,7841624112,2377539072,1770926793,299569450,2283958755,672496237,217023382,1942024.596,984834.1968,298596.5342,222411.7403,37623.1039,286843.727,84459.19901,27256.09453
105,12,29.26,332.82,671.13,22,107.1,238.16,1192.25,244.24,1420.55,0,0,0,0,30,103.31,9269.19,29882.8,5327.19,2650.59,7.8,24.5,1,3,300,42,25311128898,13406906088,2367230984,2011751718,686158995,5364128849,757630732,717321532,2730673.219,1446394.57,255387.0386,217036.4097,74025.77733,578705.2427,81736.45507,77387.72557
110,305,743.71,6655.47,8806.73,567,2523.2,4288.79,16336.54,1847.55,11278.33,0,0,19,510,691,2518.31,9096.93,9000,1539.21,3488.43,4.3,39.4,1,9,720,34,17589263886,10268826909,2892670155,366375198,308843725,2527631634,613082975,611833290,1933538.445,1128823.34,317983.1168,40274.59791,33950.32445,277855.4561,67394.49188,67257.11751
111,263,641.3,6893.44,15601.52,449,2164.4,4121.14,17339.14,2027.46,18617.5,0,0,14,432,410,1762.79,12496.63,86349.9,2806.22,22644,4.3,30.9,2,6,900,56,25499347907,15675538777,1169202196,3526473214,256536382,2990760487,1133222442,747614409,2040497.951,1254381.283,93561.39983,282193.9366,20528.44503,239325.3611,90682.24329,59825.28162
258,141,343.82,4051.63,9986.67,286,1906.05,2794.53,17937.33,1954.16,15582.01,0,0,9,382,283,1565.69,9269.19,29882.8,5327.19,2650.59,7.8,24.5,1,3,300,42,25311128898,13406906088,2367230984,2011751718,686158995,5364128849,757630732,717321532,2730673.219,1446394.57,255387.0386,217036.4097,74025.77733,578705.2427,81736.45507,77387.72557
288,192,441.35,4484.38,8201.98,366,1518.03,2932.78,10143.93,1448.45,9384.21,278,971.8,16,385,297,1791.94,8058.32,2000,982.88,337.36,3.9,30.98,2,7,600,40,17254351054,8468436942,2877609571,2303380614,128897582,2044508312,911603520,519914513,2141184.646,1050893.603,357097.9523,285838.8118,15995.5899,253713.9642,113125.7533,64518.97083
289,471,1148.49,12181.71,24475.87,893,3502.8,7510.88,25886.77,2687.98,33745.03,0,0,21,453,804,3043,7800,168086,1362.21,5269.31,4,11.65,3,2,720,121,15771677714,7222448242,2697128429,2271024277,459061076,1333519780,919195921,869299989,2022009.963,925954.9028,345785.696,291156.9586,58853.9841,170964.0744,117845.6309,111448.7165
312,161,388,4093,5997,377,1734,3748,15313,2308,10481,0,0,16,412,723,1683,8374.15,13818.1,1068.76,3384.38,4.2,29.8,2,6,720,32,18308017616,8378009231,3410824558,2140986950,154819496,2609820396,1131295327,482261658,2186253.843,1000460.85,407303.9721,255666.181,18487.78634,311651.9761,135093.7501,57589.32644
329,333,811.99,7770.71,15873.89,696,2504.2,5191.93,14713.35,2845.52,17844.24,0,0,19,390,741,3661.07,10789.6,17177,3631.99,4239.76,3.6,18.6,1,4,360,77,19030881561,11324693752,2513484538,828175644,477362599,2200196296,918844594,768124138,1763817.154,1049593.474,232954.3763,76756.844,44242.84487,203918.245,85160.20928,71191.15982
372,407,977.8,7412.39,9507.5,598,2543.45,4778.26,17653.09,2126.2,13190.56,0,0,21,733,670,2378.4,13788.78,230507,2409.6,0,0,25.73,2,5,990,126,21416454702,11357777950,1814509061,3319704044,298234218,2500986516,1464016297,661226616,1553179.81,823697.0892,131593.1548,240754.0075,21628.76034,181378.3755,106174.4619,47953.96083
376,467,1134,9858,13987,672,3004,5835,21575,2867,17379,0,0,18,522,908,3982,12807,11970,3371,1950,4.2,23.2,1,5,690,175,25039582702,14088525537,2516135660,1213346420,428719420,3093455974,2648832646,1050567045,1955148.177,1100064.46,196465.6563,94740.87765,33475.39783,241544.1535,206826.942,82030.68986
378,395,834,7807,11065,589,2355,5119,17462,2300,12521,0,0,14,392,691,2545,10192,13210,2597.86,2895.45,4.2,26.8,1,5,540,177,22485099321,11409146048,4527463511,520689190,899264119,2414626280,2036998061,676912112,2206151.817,1119421.708,444217.3775,51088.02885,88232.35077,236913.8815,199862.4471,66416.02355
379,284,666,6487,11275,487,2086,4072,13815,1661,16485,0,0,15,350,634,3369,11526.31,4958,1625.93,766.49,4,32.1,1,7,730,128,22783781568,13270930086,1215051876,2015919624,338419825,3202628757,1966266969,774564431,1976676.106,1151359.81,105415.5125,174897.2242,29360.63883,277853.776,170589.4574,67199.68758
446,142,346.25,3789.24,9311.67,299,1127.8,2433.49,8205.43,2194.46,19019.75,0,0,12,242,354,1015.9,9571.23,11168,1324.24,1696.58,3.9,19.7,2,4,510,162,18183331326,10944965649,955259925,1273288458,891840904,2274098849,1039012774,804864767,1899790.448,1143527.598,99805.34633,133032.8973,93179.341,237597.3463,108555.8255,84092.09339
