건물번호,실개수,실높이합계,실둘레합계,실면적합계,벽개수합계,벽높이합계,벽길이합계,벽면적합계,바닥둘레합계,바닥면적합계,기둥개수,기둥길이합계,계단개수,계단단수합계,창호개수,창호면적합계,연면적,대지면적,건축면적,조경면적,층고,건물높이,지하층개수,지상층개수,시공기간,주차대수,총공사비,건축공사비,기계설비공사비,기타공사비,조경공사비,전기설비공사비,토목공사비,소방공사비,면적당총공사비,면적당건축공사비,면적당기계공사비,면적당기타공사비,면적당조경공사비,면적당전기공사비,면적당토목공사비,면적당소방공사비
125,28,68.28,949.02,3609.83,53,250.7,784.86,3541.74,930.01,6357.85,0,0,0,0,61,329.28,1960,792220,1611.07,자연녹지지역,0,0,0,1,0,0,1768071000,1597429000,0,0,0,143830000,0,26812000,902077.0408,815014.7959,0,0,0,73382.65306,0,13679.59184
127,195,475.49,1728.61,1205.96,308,942.51,1100.09,2748.46,548.92,1909.27,0,0,8,157,201,529.82,1351.81,1540,473.19,616.26,0,15.4,0,4,240,20,2709663189,1682318249,364400019,152952488,33340104,336254369,101069766,39328194,2004470.443,1244493.123,269564.5239,113146.4392,24663.30623,248743.8094,74766.25117,29092.9894
129,92,224.33,1102.5,937.07,134,478.4,724.85,2118.71,414.39,1331.93,0,0,4,88,143,429.88,992.51,39722,258.23,0,3.6,17.4,0,4,0,5,1718982000,1408159000,0,0,0,221399000,58460000,30964000,1731954.338,1418785.705,0,0,0,223069.7927,58901.16976,31197.67055
131,61,148.74,1140.1,1121.47,109,335.8,745.85,2008.47,406.57,1589.57,0,0,3,63,93,259.79,901.53,0,0,0,0,0,0,0,0,0,1243888000,939864000,166641000,0,0,97376000,24657000,15350000,1379752.199,1042521.048,184842.4345,0,0,108011.9353,27350.17138,17026.61032
133,101,246.28,937.29,541.37,147,456.5,581.1,1492.25,330.64,865.93,0,0,3,57,114,282.77,615.57,984,253.83,150,3.1,13.07,0,4,0,3,1041249000,868533000,0,0,0,125073000,26544000,21099000,1691520.055,1410941.079,0,0,0,203182.4163,43121.0098,34275.54949
136,107,260.91,2475.21,3786.37,290,1029.6,1748.85,5005.1,1299.75,5999.14,0,0,5,95,235,1043.7,3532.18,14504,2655.17,0,3.9,11.6,1,2,330,52,7388710356,4618650198,1133098279,431059089,222145665,542085809,150985101,290686215,2091827.244,1307591.968,320792.9038,122037.6903,62891.9435,153470.6071,42745.58516,82296.54633
138,53,129.24,1006.69,1376.01,89,314.4,648.1,1794.59,399.21,2394.5,0,0,3,63,135,466,1449.7,157374,881.3,해당없음,3.5,9.9,0,2,270,5,2056450000,1483304000,177418000,0,0,216547000,55035000,124146000,1418534.869,1023179.968,122382.5619,0,0,149373.6635,37963.02683,85635.64875
139,61,148.74,1306.78,1786.56,144,611,918.27,3427.66,595.3,2842.35,0,0,4,107,132,441.43,1505.62,1571,841.2,137.97,3.6,15.5,1,2,300,8,3047298000,2128380000,445200000,0,0,213114000,70344000,190260000,2023948.938,1413623.623,295692.1401,0,0,141545.6755,46720.95217,126366.5467
140,83,202.39,1724.75,2346.4,169,594.3,1181.77,3242.45,771.32,3314.22,0,0,7,150,180,858.31,2114.83,3784,741.15,0,3.6,16.6,1,3,270,23,4503545767,2681658934,461236729,339278727,75807788,549640411,181062364,214860814,2129507.226,1268025.768,218096.3619,160428.3687,35845.80699,259898.153,85615.56437,101597.2036
143,76,185.32,1070.53,1225.01,141,523.2,746.67,2195.86,515.51,1862.15,0,0,5,106,143,538.67,979.63,1373.9,495.76,0,0,15.45,1,3,240,7,1692007000,1482723000,0,0,0,131160000,60338000,17786000,1727189.857,1513554.097,0,0,0,133887.284,61592.64212,18155.83435
145,113,275.54,2502.84,4581.16,266,1069.84,1685.31,5517.75,1106.51,6434.62,0,0,12,281,229,1088.7,4156.44,3370,765.366,537.68,3.9,20.66,2,4,480,58,8652483669,5159546608,652692562,1142105846,0,903031433,361580407,433526813,2081705.418,1241337.926,157031.6333,274779.8226,0,217260.7888,86992.81284,104302.435
149,681,1660.55,8349.91,5559.73,1344,3687.3,5421.8,11295.1,2147.25,7290.55,0,0,10,162,1130,3422.9,4326.7,12350,775.65,4478.74,2.9,27.4,1,9,450,43,7847584449,4563662471,1098520983,485597324,175062622,581134935,623090798,320515316,1813757.471,1054767.484,253893.4946,112232.7233,40461.00307,134313.6651,144010.6312,74078.46997
151,80,195.07,1551.91,2012.37,144,620.4,1015.69,3886.83,529.21,2775.1,0,0,7,169,219,474.92,1637.92,643626,554.94,0,4.8,17.2,0,3,365,20,5053250115,2852167971,196218922,182284848,31378120,766914942,785649809,238635503,3085162.96,1741335.334,119797.6226,111290.4464,19157.29706,468224.9084,479663.1148,145694.236
154,69,165.81,2234.62,4337.86,142,676.8,1526.31,6129.6,996.1,5863.18,0,0,7,189,319,991.6,3708.42,37770,1724.89,6488.44,4.2,14.55,1,3,480,616,9887355799,5245604308,404086997,2510754122,287192097,871725643,349885079,218107553,2666190.938,1414511.924,108964.7335,677041.4683,77443.24996,235066.5898,94348.82753,58814.14538
155,86,195.07,1973.21,4250,153,604.2,1259.02,3646.01,940.88,5703.32,113,461.4,7,164,150,1331.38,3545.6,42487,715.89,0,3.9,17.1,1,3,240,70,5448274221,3798198818,224127938,272672831,33424,635026363,296342077,221872770,1536629.688,1071242.898,63212.9789,76904.5665,9.426895307,179102.652,83580.23381,62576.93197
